id,name,url,artist_id,blurb,store_spotify_link,store_soundcloud_link
1,Epic Journey,epic-journey,1,,https://open.spotify.com/track/7BU6t0ScDc2LZys04ESick?si=de6ea38ff48f47e7,https://soundcloud.com/gfdmusic/epic-journey
2,Departure,departure,1,,https://open.spotify.com/track/6LU3Pxe26ckmYB6DdBV8Rl?si=046db6a135ab46a7,https://soundcloud.com/gfdmusic/departure
3,November Dawn,november-dawn,1,"This had a working title of ""guitar trance"". That should give you an idea of what to expect.",https://open.spotify.com/track/2UkOuhhy4GSq2ISo9VSzfw?si=f2e7697760f34c52,https://soundcloud.com/gfdmusic/november-dawn
4,Legacy Layers,legacy-layers,1,"It's the B-side (in digital terms!) of my previous track, November Dawn. More guitars in this one. 🎸",https://open.spotify.com/track/2O135uZJME1ymk3vYHyXfj?si=7bbb4501ad584343,https://soundcloud.com/gfdmusic/legacy-layers
5,Tonic,tonic,1,"This is the 1st track from my 2021 EP ""Night Sessions"". The artwork is mine - a photo taken from a night out.

This is my first funk/upbeat track on Spotify. It's a fun one and a good opener for a more dance-oriented collection of tunes.",https://open.spotify.com/track/6yAAgkgxt9u8R1fJBL9gNr?si=94ec786974d44732,https://soundcloud.com/gfdmusic/tonic
6,An Evening in February,an-evening-in-february,1,This is the 2nd track from my Night Sessions EP. This one's quite varied. It's an ambient piano / dance piece that doesn't stay in one place for too long. Quite an unusual one.,https://open.spotify.com/track/7kSTD2ERFSTiZYVCCb8BE9?si=6d3885167aa3402a,https://soundcloud.com/gfdmusic/an-evening-in-february
7,Dreamlight State,dreamlight-state,1,"“Dreamlight State” is a typo, it should be ""Dreamlike State"". Oops.

It's a piano ambient dance track, much like the previous track. I quite like this track, although nobody has really listened to it.",https://open.spotify.com/track/1cXQbp1DNFAPYXv9ZqY163?si=283d1ad3dcb9492b,https://soundcloud.com/gfdmusic/dreamlight-state
8,Midnight Disco,midnight-disco,1,"This track lives up to its title, especially in the middle part. It's a mix of styles, with some upbeat bits, piano catchy bits, and a disco beat. Good night time listening.",https://open.spotify.com/track/1YluAGLgPvxuiJU6tlfHHB?si=9315d74c51224b48,https://soundcloud.com/gfdmusic/midnight-disco
9,Lost Highway,lost-highway,1,"This is a combo of piano and guitar with a driving beat. I think it works well for the first half, but doesn't do a great deal more after that point. I think there's a good idea in here, but the track doesn't develop enough. Still worth a listen though 😇",https://open.spotify.com/track/3nTHi7AepE2YuqxCur9UjE?si=913421f7300c4c4d,https://soundcloud.com/gfdmusic/lost-highway
10,Retro Nights,retro-nights,1,"This is one of my favourites and one of the first that people seemed to enjoy! 😇 It's a disco track that has been described as ""authentic"". I love the style and think it came out really well. Have a listen, you might just enjoy it 🤩🔥🎉",https://open.spotify.com/track/56v6XGRSwMRJefSfl2ezOg?si=45330e569b31419a,https://soundcloud.com/gfdmusic/retro-nights
11,Turn It Up,turn-it-up,1,This is the 1st track from my EP of the same name. I'm not sure what I'd call the genre; it's catchy though! 😄 ,https://open.spotify.com/track/46U0hQcCieQ1m397radRuu?si=cded7ec5d4c64d8c,https://soundcloud.com/gfdmusic/turn-it-up
12,Saturday Groove,saturday-groove,1,A soft groove and a fun track. I enjoyed writing this.,https://open.spotify.com/track/6mOCE4TuqP5ztCGc4CAVAl?si=8b260cb9f9a649f8,https://soundcloud.com/gfdmusic/saturday-groove
13,Fireflies,fireflies,1,"This one gives a darker trance vibe than most of my other tracks, at least up to this point. It's a late night track.",https://open.spotify.com/track/7LRoWhdwbUkvrFvepQYP01?si=b4e9bb5907674962,https://soundcloud.com/gfdmusic/fireflies
14,Late Summer Funk,late-summer-funk,1,"A breezy, upbeat funky track that's a fun one to listen to. Funk is great!",https://open.spotify.com/track/2uVz6ELOVrV7bC14fQjlMF?si=6a26d896dc0a495e,https://soundcloud.com/gfdmusic/late-summer-funk
15,When the World Knows,when-the-world-knows,1,"This is a really old one, and perhaps better suited to my VGM alias (Roads to Atlantis). It's got potential, but the sounds aren't quite right. Might remix it someday.",https://open.spotify.com/track/5oK6m9al5wfcMAj7CPbNZE?si=ac3590a7fb1649b0,https://soundcloud.com/gfdmusic/when-the-world-knows
16,Chasing Comets,chasing-comets,1,"This track marks a step up in quality for me. I worked hard on getting this to sound good. 🎵

It’s a bit of funky disco, heavy on the synths and I think it’s pretty catchy!

It's also notable for being the lead single for my first album - Voyage into Space 😎 It even has some pretty snazzy artwork to boot.",https://open.spotify.com/track/1MlbNcDqKDPsnus0IaehB3?si=b34061f651464d21,https://soundcloud.com/gfdmusic/chasing-comets
17,Event Horizon,event-horizon,1,"The 2nd and final track from my Chasing Comets EP, and another preview of my first album. 🎧

This is one of my movie soundtrack style tracks, with a fairly understated intro that leads into a string-laden soundscape. 🎻",https://open.spotify.com/track/6NhjklwfkMzoIStG50Mi1M?si=756f6344245b4b84,https://soundcloud.com/gfdmusic/event-horizon
18,Seventh Road,seventh-road,1,"This is a single, not on any albums, and I've pretty much never promoted it anywhere. 🧐

And yet... I think it's one of my very best- a real hidden gem. 💎

Strings, piano, and a catchy beat - it really came out well. ☺️🎧🔥

Have a listen - you might just like it. 😁🎵",https://open.spotify.com/track/4KC276qg9X9614LmbxEDUG?si=5b28516d23684fcd,https://soundcloud.com/gfdmusic/seventh-road
19,Mission Control,mission-control,1,"This tracks launches my first album. 🚀 it's a space-themed album.

Originally titled ""Get Ready"", I think it's a good opener.",https://open.spotify.com/track/5ZUoE0to6LGiYM6yzLGpHR?si=daf34b9ab29c4e60,https://soundcloud.com/gfdmusic/mission-control
20,Meteor Shower,meteor-shower,1,"Track 2 from my album ""Voyage into Space"".

Starting with a repetitive one note melody, this develops into an upbeat, groovy track.

I like how this one turned out. It continues to set the tone for the album. After a string of EPs and singles, it was satisfying to put out an album.",https://open.spotify.com/track/104sfp03GAQXPzlNLkYkyx?si=825acb50ff864cc9,https://soundcloud.com/gfdmusic/meteor-shower
21,Lightspeed,lightspeed,1,"A deep cut, a hidden gem, an underrated tune? Call it what you like: this track was completely overlooked. I think it's worth a play.

Originally titled ""Dry Ice"", it's a fast track, a bit funky, and uses a few guitar samples. 🎸",https://open.spotify.com/track/72BjSIFJzBQI5aZ4EFLFKK?si=b0223b22d1584b5f,https://soundcloud.com/gfdmusic/lightspeed
22,Watching the Stars Go By,watching-the-stars-go-by,1,"I remember starting this track with a simple melody, and adding drums. Before long, I noticed the track had a feel similar to tracks on the Anjunabeats label 😁

It's simple but effective. A standout from my first album. 😎",https://open.spotify.com/track/1qiXmIgZwv05b1rudIfkMo?si=ea3d0d1839154bb8,https://soundcloud.com/gfdmusic/watching-the-stars-go-by
23,Diamond Rain,diamond-rain,1,"I don't have a whole lot to say about this one. It's bright and catchy 😄

Maybe a little repetitive - it could've been slightly shorter. Still, I think it works.",https://open.spotify.com/track/0wXYgdK710gh4FB0cB7pkT?si=99b835536dae4f6b,https://soundcloud.com/gfdmusic/diamond-rain
24,Lost in Space,lost-in-space,1,"This is an old one that I reworked for the album. It's a simple piano melody that develops into a weird, dark, groovy tune. It's almost like a space disco as it gets going.

I think it captures the vibes of the album well. A distant place, not knowing what's coming next, and a combination of curiosity and anxiety.",https://open.spotify.com/track/10sovx64C8zHWobsc1eiQg?si=ec8dbd9cc0af4487,https://soundcloud.com/gfdmusic/lost-in-space
25,Uncharted Territories,uncharted-territories,1,"This track is a proper journey. It's got great melodies and a driving dance beat. 🕺

I LOVE this track. It stands as one of my absolute best. I'd love if you gave it a listen. 🎧",https://open.spotify.com/track/4tJLzxBaMxSKnauIP3EyEj?si=fcaaa4fea2d6447c,https://soundcloud.com/gfdmusic/uncharted-territories
26,Ninth Dimension,ninth-dimension,1,"This is a proper space epic! After a fairly normal intro, things get interesting at 2:30. Space sound effects, distorted voices, and a bunch of other weird noises give the track a sci-fi vibe. Stick with it: this is a very unusual track 😎",https://open.spotify.com/track/1TUCZhBdNvanJk7ViO8qq3?si=43a4f55449ab4346,https://soundcloud.com/gfdmusic/ninth-dimension
27,Mercury,mercury,1,"A mostly ambient dance/trance track, originally titled ""True Destiny"".

It has a few catchy melodies and develops nicely through its 6 minute runtime.

Only 1 more track left before this album is done. It's quite a journey.",https://open.spotify.com/track/1jTcHZ65kJiDv1WyAdu6cN?si=dda285d36ab64055,https://soundcloud.com/gfdmusic/mercury
28,Heaven,heaven,1,"6 minutes of chilled dance to close off my first album.

Heaven is about the distant reaches of space, the very edge of the universe.

It's well worth listening through the whole of this album - I think it works well as a body of work.",https://open.spotify.com/track/6juZS21WFHwCe6q2znscqY?si=6974b6e71f4d4d5d,https://soundcloud.com/gfdmusic/heaven
29,The Last Train,the-last-train,1,"The Last Train is a proper trance banger that gives me that ""end of the night"" vibe. It's about the last tune of the night, and your last train home.

It's a hidden gem in my catalogue, which I released then didn't shout about. It's also wedged between my first and second albums, so may have been overshadowed by those.",https://open.spotify.com/track/1HkDC1sxG5f1jQO6cmvJis?si=7617b6f9d3534fee,https://soundcloud.com/gfdmusic/the-last-train
30,Seventy Five,seventy-five,1,"Track 2 of my EP, The Last Train. Very different to that track: Seventy Five is much more chilled and downbeat.

The title comes from an attempt to write something with a 1970s sound. Not sure I've done that, but that was the original idea.

I think it's a good track, but perhaps better suited to my ""Roads to Atlantis"" videogame music alias.",https://open.spotify.com/track/6uQVu2PiVws0Q12cVloT5s?si=55d8b2a7fb674a20,https://soundcloud.com/gfdmusic/seventy-five
